City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,kailua-kona,19.6406,-155.9956,26.98,85,100,5.66,US,1699415826
373,beira,-19.8436,34.8389,22.05,100,100,11.32,MZ,1699415827
374,pangody,65.85,74.4859,-2.79,97,97,3.57,RU,1699415827
375,caraballeda,10.6112,-66.8522,28.81,80,75,1.03,VE,1699415827
376,tosontsengel,48.7567,98.2839,-16.02,93,100,1.43,MN,1699415827
377,weno,7.4515,151.8468,25.97,94,100,6.15,FM,1699415827
378,new norfolk,-42.7826,147.0587,22.72,54,54,2.03,AU,1699415828
379,lethem,3.3803,-59.7968,25.52,84,100,1.69,GY,1699415828
380,khost,33.3395,69.9204,17.68,44,82,0.23,AF,1699415828
381,shahrak,34.1074,64.3052,6.21,81,100,0.41,AF,1699415828
382,pariaman,-0.619,100.12,28.03,84,100,0.37,ID,1699415828
383,scalea,39.813,15.7956,17.96,89,100,0.61,IT,1699415829
384,barreirinha,-2.7933,-57.07,24.12,97,100,1.08,BR,1699415829
385,kununurra,-15.7667,128.7333,36.99,30,2,2.06,AU,1699415829
386,motueka,-41.1333,173.0167,15.61,86,70,4.23,NZ,1699415829
387,mary,37.0,62.5,17.45,60,90,7.22,TM,1699415830
388,beyneu,45.3167,55.2,9.72,85,13,6.27,KZ,1699415830
389,lihue,21.9789,-159.3672,27.58,75,40,6.69,US,1699415746
390,callao,-12.0667,-77.15,20.4,82,75,6.17,PE,1699415830
391,saint-junien,45.8833,0.9,8.32,98,100,2.27,FR,1699415830
392,sambava,-14.2667,50.1667,25.13,71,3,3.5,MG,1699415831
393,ad-damazin,11.7891,34.3592,24.49,75,78,1.43,SD,1699415831
394,quibala,-10.7337,14.98,18.82,96,100,0.63,AO,1699415831
395,lubango,-14.9172,13.4925,16.3,29,10,1.01,AO,1699415831
396,arraial do cabo,-22.9661,-42.0278,21.55,68,10,6.92,BR,1699415832
397,marquette,46.5333,-87.6335,-1.8,83,100,1.79,US,1699415832
398,argo,37.6333,22.7333,17.35,46,45,0.89,GR,1699415832
399,dunedin,-45.8742,170.5036,13.22,62,100,2.24,NZ,1699415832
400,oppdal,62.5943,9.6912,-3.56,87,81,2.65,NO,1699415832
401,bhamo,24.2667,97.2333,28.23,44,0,1.12,MM,1699415833
402,port augusta,-32.5,137.7667,31.8,16,60,6.82,AU,1699415833
403,kindu,-2.95,25.95,20.69,99,100,1.0,CD,1699415833
404,xique xique,-10.8217,-42.7311,24.32,71,92,8.25,BR,1699415833
405,uvinza,-5.1036,30.3911,19.84,92,99,0.74,TZ,1699415834
406,manjhanpur,25.5333,81.3833,26.5,29,0,2.22,IN,1699415834
407,nizhnyaya tavda,57.6731,66.1725,-0.66,79,100,2.7,RU,1699415834
408,fisterra,42.9049,-9.2629,15.57,89,100,12.26,ES,1699415834
409,caister-on-sea,52.6481,1.7265,7.13,89,96,6.38,GB,1699415834
410,greymouth,-42.4667,171.2,14.27,73,54,3.4,NZ,1699415835
411,kapa'a,22.0752,-159.319,27.99,81,40,6.69,US,1699415835
412,yerofey pavlovich,53.9667,121.9667,-8.41,51,100,4.97,RU,1699415835
413,arkalyk,50.2486,66.9114,4.52,48,77,4.04,KZ,1699415835
